Light,Temperature,Humidity,Timestamp
671,23.0,80.0,2021-10-25 14:36:38.949202
676,23.0,79.0,2021-10-25 14:40:13.285221
679,23.0,79.0,2021-10-25 14:40:20.501202
679,23.0,79.0,2021-10-25 14:40:27.717061
679,23.0,79.0,2021-10-25 14:40:34.927018
680,23.0,79.0,2021-10-25 14:40:42.143221
680,23.0,79.0,2021-10-25 14:40:49.366226
683,23.0,79.0,2021-10-25 14:40:56.578220
682,23.0,79.0,2021-10-25 14:41:03.788213
682,23.0,79.0,2021-10-25 14:41:11.004216
682,23.0,79.0,2021-10-25 14:41:18.221102
681,23.0,79.0,2021-10-25 14:41:25.425259
682,23.0,79.0,2021-10-25 14:41:32.633232
681,23.0,79.0,2021-10-25 14:41:41.478218
680,23.0,79.0,2021-10-25 14:41:48.693068
681,23.0,79.0,2021-10-25 14:41:55.897018
682,23.0,79.0,2021-10-25 14:42:03.118225
681,23.0,79.0,2021-10-25 14:42:10.330024
682,23.0,79.0,2021-10-25 14:42:17.555221
682,23.0,79.0,2021-10-25 14:42:24.771226
682,23.0,79.0,2021-10-25 14:42:31.999281
682,23.0,79.0,2021-10-25 14:42:39.212220
682,23.0,79.0,2021-10-25 14:42:46.423097
682,23.0,79.0,2021-10-25 14:42:53.645036
682,23.0,79.0,2021-10-25 14:43:00.854336
682,23.0,79.0,2021-10-25 14:43:08.072207
682,23.0,79.0,2021-10-25 14:43:15.285278
683,23.0,79.0,2021-10-25 14:43:22.494229
682,23.0,79.0,2021-10-25 14:43:29.701042
682,23.0,79.0,2021-10-25 14:43:36.913225
683,23.0,79.0,2021-10-25 14:43:44.132006
683,23.0,79.0,2021-10-25 14:43:51.349250
683,23.0,79.0,2021-10-25 14:43:58.575226
683,23.0,79.0,2021-10-25 14:44:05.793219
683,23.0,79.0,2021-10-25 14:44:13.010005
681,23.0,79.0,2021-10-25 14:44:20.238281
680,23.0,79.0,2021-10-25 14:44:27.454358
682,23.0,79.0,2021-10-25 14:44:34.668099
682,23.0,79.0,2021-10-25 14:44:41.877056
682,23.0,79.0,2021-10-25 14:44:49.094276
682,23.0,79.0,2021-10-25 14:44:56.320216
681,23.0,79.0,2021-10-25 14:45:03.541035
682,23.0,79.0,2021-10-25 14:52:41.350236
685,23.0,79.0,2021-10-25 14:52:43.391197
685,23.0,79.0,2021-10-25 14:52:45.408129
685,23.0,79.0,2021-10-25 14:52:47.419230
685,23.0,79.0,2021-10-25 14:52:49.459227
683,23.0,78.0,2021-10-25 14:56:17.826296
686,23.0,79.0,2021-10-25 14:56:19.844189
684,23.0,78.0,2021-10-25 14:56:28.629211
686,23.0,78.0,2021-10-25 14:56:30.646207
686,23.0,78.0,2021-10-25 14:56:32.665214
686,23.0,78.0,2021-10-25 14:56:34.679223
683,23.0,78.0,2021-10-25 14:57:30.642210
686,23.0,78.0,2021-10-25 14:57:32.673200
686,23.0,78.0,2021-10-25 14:57:34.689017
686,23.0,78.0,2021-10-25 14:57:36.699275
