type	time	latitude	longitude	altitude (m)	name	desc
T	2020-09-22 13:28:28	51.281419359	-0.350026097	172.4	Norbury Park off leash	
T	2020-09-22 13:28:29	51.281418856	-0.350026097	74.0		
T	2020-09-22 13:28:30	51.281418437	-0.350025846	74.2		
T	2020-09-22 13:28:31	51.281418186	-0.350025594	74.0		
T	2020-09-22 13:28:32	51.281418270	-0.350024840	74.0		
T	2020-09-22 13:28:33	51.281418270	-0.350024588	74.2		
T	2020-09-22 13:28:34	51.281419778	-0.350024840	74.0		
T	2020-09-22 13:28:35	51.281420449	-0.350026097	74.0		
T	2020-09-22 13:28:36	51.281420868	-0.350026432	74.0		
T	2020-09-22 13:28:37	51.281420533	-0.350027354	74.0		
T	2020-09-22 13:28:38	51.281419024	-0.350027354	74.0		
T	2020-09-22 13:28:39	51.281417347	-0.350026097	74.0		
T	2020-09-22 13:28:40	51.281417515	-0.350024924	74.0		
T	2020-09-22 13:28:41	51.281414079	-0.350024421	74.0		
T	2020-09-22 13:28:42	51.281410893	-0.350023331	74.0		
T	2020-09-22 13:28:43	51.281410139	-0.350023834	74.0		
T	2020-09-22 13:28:44	51.281410055	-0.350024169	74.0		
T	2020-09-22 13:28:45	51.281410055	-0.350023583	74.0		
T	2020-09-22 13:28:46	51.281408044	-0.350022325	74.0		
T	2020-09-22 13:28:47	51.281407541	-0.350021236	74.0		
T	2020-09-22 13:28:48	51.281408463	-0.350019895	74.0		
T	2020-09-22 13:28:49	51.281408714	-0.350020146	74.0		
T	2020-09-22 13:28:50	51.281407876	-0.350019811	74.0		
T	2020-09-22 13:28:51	51.281406367	-0.350018973	74.0		
T	2020-09-22 13:28:52	51.281405948	-0.350018553	74.0		
T	2020-09-22 13:28:53	51.281405613	-0.350018889	74.0		
T	2020-09-22 13:28:54	51.281405529	-0.350020062	74.0		
T	2020-09-22 13:28:55	51.281405780	-0.350021236	74.0		
T	2020-09-22 13:28:56	51.281405780	-0.350021487	74.0		
T	2020-09-22 13:28:57	51.281405864	-0.350021655	73.8		
T	2020-09-22 13:28:58	51.281406367	-0.350022074	73.8		
T	2020-09-22 13:28:59	51.281406535	-0.350022661	73.8		
T	2020-09-22 13:29:00	51.281406619	-0.350022912	73.8		
T	2020-09-22 13:29:01	51.281406870	-0.350023331	73.8		
T	2020-09-22 13:29:02	51.281407205	-0.350023331	73.8		
T	2020-09-22 13:29:03	51.281407289	-0.350022661	73.8		
T	2020-09-22 13:29:04	51.281407541	-0.350022241	73.8		
T	2020-09-22 13:29:05	51.281407122	-0.350021487	74.0		
T	2020-09-22 13:29:06	51.281406870	-0.350021068	74.0		
T	2020-09-22 13:29:07	51.281406786	-0.350020984	74.0		
